Id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
101,0,8.772,0.988,1.864,2.45,9.617,4.936,1.861,-3.276,-2.45,-9.556
102,0,-3.621,-8.461,-2.573,6.493,-8.717,-9.426,-7.746,-8.199,6.083,-7.426
103,1,-1.075,-4.901,5.773,-2.803,4.921,-4.234,-3.077,-7.405,4.66,-8.173
104,0,8.664,-1.73,-1.526,-9.25,3.441,-0.161,-6.671,-6.471,-8.017,-7.517
105,0,4.809,-4.551,9.015,-9.179,9.662,5.336,-0.637,-8.727,0.294,7.284
106,0,-6.984,2.822,9.206,0.952,-9.06,-4.844,2.83,4.034,7.988,-9.105
107,0,-8.752,1.139,8.091,-0.086,-3.106,3.578,-1.293,5.73,-7.626,0.931
108,1,-7.699,5.663,-0.039,-5.514,-9.955,7.508,1.801,-4.44,-4.694,0.167
109,1,6.764,7.843,-1.751,2.26,8.677,-8.787,-6.443,8.936,0.562,-4.169
110,1,5.54,2.974,4.691,2.467,-6.652,5.58,3.677,-0.35,4.242,-9.256
111,1,-6.82,3.596,0.25,9.83,-8.366,7.074,4.235,-6.316,-4.854,3.928
112,0,5.524,-7.081,-9.409,-8.894,-0.604,-0.972,2.078,-5.248,6.013,-2.602
113,1,7.963,6.424,8.45,-4.262,-3.998,-7.026,1.415,7.716,-4.608,-1.153
114,0,-3.399,9.261,6.778,-1.951,4.526,1.574,5.753,-8.206,-3.054,-1.568
115,0,7.381,-8.38,-5.214,-3.897,8.626,-6.168,-0.957,-1.232,-0.639,6.878
116,0,5.343,4.063,-8.569,-7.505,-9.768,-6.588,-1.132,-4.325,9.355,5.792
117,0,6.993,-7.953,0.512,-7.297,-1.6,6.861,0.249,8.628,-6.215,-6.647
118,1,6.316,6.853,3.238,1.122,-2.803,-2.533,-3.588,-7.806,-7.509,7.085
119,0,-1.305,-1.427,-7.589,-3.986,-5.849,9.543,-1.105,-6.71,3.909,-7.289
120,1,8.457,4.953,2.09,7.525,4.679,-1.527,5.835,-1.448,4.775,4.487
121,0,-1.032,1.265,-8.896,-5.733,-6.386,-1.328,4.946,-6.489,5.009,8.425
122,0,-5.236,-3.059,-3.973,2.562,0.629,-4.799,3.708,-9.935,-6.417,3.629
123,0,-8.903,7.509,-4.545,-8.34,5.041,-0.002,2.978,-0.518,9.837,4.633
124,0,-8.461,-1.84,8.088,7.479,-4.814,2.363,9.847,-7.353,-4.685,-9.206
125,1,-8.632,6.017,-9.545,-6.306,-2.066,-7.861,-4.156,-5.405,-1.733,-9.813
126,0,-8.852,-5.078,6.896,-7.159,1.002,2.215,-4.972,6.472,-1.133,1.6
127,1,-3.225,1.286,-5.422,9.86,6.776,1.185,-5.492,2.394,-8.947,5.604
128,0,-7.17,-0.011,4.471,-9.737,-4.922,-5.87,-0.688,9.591,-3.061,5.177
129,0,-6.324,4.942,-4.969,4.934,-3.015,-0.189,3.355,2.628,7.743,7.551
130,1,-7.65,-8.276,2.635,2.719,4.051,-2.995,3.635,-1.136,7.903,1.303
131,1,-4.25,-8.393,-8.07,2.801,-0.73,8.671,-1.771,-3.885,-6.661,-7.07
132,0,3.885,-3.725,3.929,5.877,2.117,6.987,9.536,7.842,0.933,-5.273
133,0,5.673,7.32,4.247,0.274,-4.307,1.199,-6.787,5.427,7.834,9.79
134,1,-5.184,7.188,-3.105,-5.732,-7.908,9.525,6.329,-4.435,3.601,-6.576
135,1,-9.207,5.987,9.33,-6.767,1.581,0.113,1.248,2.656,0.626,5.56
136,0,1.442,-4.25,-7.198,-4.815,6.993,-7.364,4.137,-1.45,4.598,-9.158
137,0,-8.352,0.844,9.554,0.644,-5.827,-8.522,0.379,-3.979,2.482,-4.044
138,1,4.16,-3.426,6.79,-7.161,-1.151,-4.911,3.349,-8.612,-2.677,7.122
139,1,6.012,-2.682,8.859,-6.558,9.147,-5.056,-3.433,7.978,1.199,-3.411
140,0,-2.059,9.262,-7.248,-3.195,6.576,7.735,4.802,0.806,-5.309,1.352
141,0,-0.999,3.979,2.195,2.973,1.211,-6.165,4.979,8.864,1.104,-0.18
142,1,9.052,-8.955,-8.357,1.527,-6.281,-8.099,1.498,3.96,9.991,5.081
143,1,8.84,-4.082,3.799,4.127,-3.283,-3.094,-6.263,8.062,5.95,2.07
144,1,6.802,7.862,5.484,2.59,4.283,4.909,3.306,-0.553,-7.199,9.629
145,1,-3.285,-9.768,3.523,-6.384,2.061,-8.489,-2.38,2.779,-2.185,-1.647
146,0,-2.972,-3.083,5.111,-0.945,-4.934,7.57,4.46,2.399,-7.801,0.298
147,1,8.595,9.305,-8.101,3.218,1.458,-5.648,0.359,-1.129,4.713,2.016
148,1,-7.971,6.476,-6.793,-1.451,-1.106,0.381,7.403,-6.848,3.678,-5.503
149,0,2.329,7.692,5.284,3.262,4.043,6.302,-1.141,1.071,-5.594,9.724
150,0,-4.241,-7.348,5.086,-5.923,-1.438,2.95,4.217,-4.327,6.157,-8.359
151,1,7.328,7.579,-4.456,3.089,-4.667,-5.623,4.432,3.183,-3.833,5.626
152,0,2.99,-5.608,-4.576,-9.7,8.431,5.185,-7.799,-5.271,-8.546,-9.215
153,1,-3.641,0.254,7.444,-2.783,2.646,-1.576,-0.752,8.117,-9.639,2.68
154,0,-5.851,4.095,-7.315,7.833,7.304,-3.755,-7.955,7.484,5.928,3.19
155,0,9.654,-8.838,5.116,1.18,9.328,5.047,5.487,2.569,-7.472,-9.137
156,0,1.315,-6.629,3.726,4.789,-0.88,-5.625,-3.069,8.585,-1.362,3.595
157,0,7.681,3.794,2.772,-6.07,-8.793,2.863,-3.631,2.186,-7.812,-0.462
158,1,8.715,4.634,7.414,7.712,-9.43,6.656,-6.242,8.755,6.797,0.708
159,1,4.371,-5.479,-9.271,-0.395,-1.798,-9.894,1.537,8.545,-6.028,0.302
160,1,4.595,5.556,3.708,-3.815,-9.095,-4.699,5.831,-6.81,5.352,-3.4
161,1,8.048,-0.31,-0.201,7.266,-0.778,-3.537,-3.712,-9.354,9.752,-5.319
162,0,6.607,-3.112,-4.926,-8.361,-8.826,-6.166,5.767,-9.29,1.574,-9.579
163,1,9.831,-5.889,4.193,-7.61,3.722,9.188,2.119,-2.444,-6.368,-5.019
164,0,-5.005,4.261,2.617,7.227,1.02,-1.924,-4.564,-2.41,6.322,6.313
165,0,-8.279,7.933,-7.31,2.891,-2.031,-1.776,-6.583,-4.44,8.017,7.479
166,0,9.375,5.99,2.131,9.617,-2.055,3.373,-1.956,-9.558,-1.586,-9.385
167,1,-8.561,7.264,2.992,9.315,8.212,2.385,-4.071,-8.689,-6.295,-0.533
168,0,1.49,5.168,-7.15,2.541,-9.481,-4.909,2.067,8.76,4.946,2.969
169,0,-9.184,-6.927,7.127,9.299,1.352,3.954,-0.405,-0.309,2.717,1.851
170,1,-5.154,-7.636,2.521,1.288,8.872,3.248,9.533,9.245,3.517,2.25
171,1,8.093,3.951,7.519,-2.205,4.827,0.068,-3.03,-4.933,6.395,1.255
172,1,-1.697,-6.326,-1.962,3.114,0.624,-7.691,-1.337,3.524,3.967,-3.011
173,1,2.753,-5.25,-1.593,-3.517,-4.872,-7.6,6.49,-3.575,4.929,-1.021
174,1,-2.742,-5.555,6.9,-9.007,-6.447,-4.511,2.011,3.016,1.811,6.307
175,0,1.348,-0.766,-1.913,7.739,1.435,-1.526,-1.371,-3.86,0.11,-6.821
176,0,7.146,6.336,-0.795,-9.338,0.003,-0.141,-5.861,5.422,4.493,9.942
177,0,-9.493,-8.968,-5.888,5.541,-5.134,7.985,-1.415,-6.827,-2.355,-3.761
178,0,-8.326,-1.687,1.987,-6.613,-1.556,-8.314,-0.019,-4.669,4.939,5.923
179,1,7.78,8.254,4.769,6.906,-7.355,3.064,-0.095,-5.314,-2.711,-1.29
180,1,1.049,-6.219,9.772,-1.15,-8.576,2.777,-0.166,4.739,8.098,6.039
181,1,-0.257,9.911,-9.698,9.26,-4.115,-8.831,-0.244,-8.072,-5.794,7.501
182,0,8.379,9.516,-1.755,-9.75,2.239,9.206,-9.906,-0.419,6.84,-9.574
183,1,8.667,3.816,1.491,8.546,-4.497,7.871,-4.716,6.51,-1.287,-4.68
184,1,-9.319,4.459,2.774,5.204,6.694,4.983,-7.522,-0.372,4.624,2.36
185,0,-0.585,6.09,-1.854,9.627,-8.515,8.49,-7.047,4.379,4.921,-8.113
186,1,-1.765,-9.553,-3.213,8.415,-7.855,-7.964,-2.72,0.782,2.994,1.816
187,0,-2.329,5.519,6.88,-8.057,4.774,7.364,-4.334,9.322,9.535,8.069
188,0,-2.265,4.084,0.292,-5.833,-4.825,-4.96,-1.751,-3.838,-8.143,-4.161
189,0,6.135,1.344,-4.15,-7.825,3.865,-0.795,-8.403,-3.463,-8.396,-8.697
190,0,9.803,-0.587,1.887,-3.313,8.497,3.497,4.881,6.979,5.726,-5.168
191,0,-5.13,6.989,-2.067,7.89,-9.098,8.373,-0.315,-9.569,-4.352,8.739
192,1,-6.595,2.511,-1.257,-1.103,-1.208,-7.665,2.342,1.2,-3.318,-7.476
193,1,-9.787,-6.734,-8.622,3.286,1.284,-2.088,6.079,-9.597,-5.974,-3.278
194,1,-0.912,-5.47,9.608,-9.314,7.084,0.756,1.488,-2.486,-8.045,0.73
195,1,1.641,-0.341,8.774,-1.305,-9.993,4.487,3.59,-8.755,-0.515,-2.387
196,1,-2.782,8.952,-8.357,-1.741,7.51,-3.047,6.909,-2.728,-8.445,-3.283
197,1,-5.57,5.634,-9.594,-2.519,1.847,9.383,-2.938,-8.001,-1.449,-9.967
198,0,2.455,6.716,-9.712,7.691,-1.256,2.374,-6.634,8.156,-1.227,-7.945
199,0,-1.065,-8.437,1.012,3.039,4.774,7.513,0.146,8.686,-3.909,-8.267
200,0,5.913,1.178,-5.149,-5.422,2.554,2.828,-1.983,-0.793,4.104,4.902
201,0,9.813,2.7,-4.544,1.348,-3.797,-0.404,-7.709,-4.432,5.869,7.488
202,1,-2.14,-6.763,-7.313,-4.01,8.848,-2.941,9.028,-1.599,8.971,6.199
203,1,-5.261,-2.991,1.967,-2.554,-0.378,1.888,7.778,2.828,-9.389,-1.697
204,0,-6.277,-9.968,-7.841,-1.295,-2.127,-1.327,-3.262,1.754,8.02,-7.497
205,0,-6.76,-4.281,2.665,1.893,-5.373,-9.351,-9.566,4.361,3.041,-2.109
206,0,-9.189,2.208,6.815,-2.746,6.51,-9.499,-6.239,8.36,-7.228,-9.488
207,1,8.558,1.582,6.57,-5.435,2.661,-5.359,-2.952,2.377,8.813,8.534
208,0,5.808,-5.862,8.118,3.286,-3.989,3.017,2.435,5.302,0,-9.827
209,1,8.908,8.632,7.099,8.761,3.994,-7.366,-5.222,7.344,-0.694,-6.703
210,1,-6.476,-4.099,-9.006,6.915,-7.688,-9.629,-8.064,0.277,-9.083,-8.256
211,1,3.382,3.939,-3.414,-3.592,4.935,8.555,-4.189,5.381,0.122,-8.765
212,1,-3.857,9.58,3.868,8.364,-3.978,3.274,9.583,5.19,1.029,-5.383
213,1,-0.296,-9,-5.775,-0.11,7.802,-9.786,5.261,-4.11,-6.718,-4.195
214,1,-2.487,-5.104,9.323,8.478,1.977,5.101,5.184,0.032,5.052,-5.392
215,0,-4.862,7.853,2.016,1.451,-6.662,-4.868,-1.918,7.402,-0.788,8.519
216,0,0.699,6.569,-1.683,2.709,-3.56,-5.08,-8.765,-2.603,9.092,-2.55
217,0,-9.694,-7.136,-0.905,-8.491,9.121,1.124,5.261,-6.834,0.101,-9.863
218,0,5.082,8.532,6.67,-4.558,-8.373,-0.817,4.484,-5.268,-0.146,-0.225
219,1,-3.314,-8.885,-5.509,-2.474,8.939,9.682,8.442,-2.01,5.651,-6.594
220,1,-6.66,0.12,-5.651,6.461,6.946,-4.778,-0.102,-4.522,-6.705,-9.277
221,1,3.998,-0.761,8.638,4.362,9.259,-6.698,-0.258,6.638,-1.075,8.568
222,1,2.704,-2.862,1.982,7.63,-0.572,-6.429,0.707,-8.715,7.208,7.322
223,1,-3.901,-0.591,9.547,3.042,4.003,9.585,-9.958,-0.081,-4.183,8.342
224,1,-5.789,2.012,5.785,-5.28,9.064,-8.933,1.25,3.478,-5.537,-5.723
225,1,4.936,2.012,9.805,-4.559,-1.581,6.943,-0.282,5.083,9.046,3.754
226,1,-2.486,9.854,5.213,5.935,2.658,6.597,3.94,0.768,-4.346,2.843
227,1,-2.729,6.18,0.775,7.76,9.908,5.513,-9.03,-6.615,2.709,-4.151
228,1,-7.745,-5.545,-2.586,3.653,-4.841,1.532,3.18,-9.856,0.6,-8.031
229,0,-6.011,-2.57,-3.2,3.887,-3.25,2.043,2.897,-0.37,5.86,-8.884
230,1,6.024,7.513,-8.214,-3.503,5.847,9.799,9.807,-5.034,-3.38,4.503
231,0,4.807,-9.441,-3.857,1.417,-7.133,4.696,-4.677,-3.933,2.515,9.023
232,1,8.105,-7.652,6.236,-1.858,-8.452,0.917,4.718,9.855,-3.232,4.928
233,1,6.931,3.785,4.66,6.373,-0.145,6.323,-1.725,-0.272,-9.305,-3.763
234,0,-9.055,7.416,-9.462,5.688,2.508,0.537,5.871,-8.115,-0.153,2.053
235,1,3.824,-0.726,0.426,4.017,0.434,0.998,4.919,-0.589,2.875,0.213
236,0,-1.279,-2.647,8.661,-2.093,-6.283,4.72,-1.376,8.24,-4.543,6.251
237,1,8.489,-7.458,-6.321,-7.176,-0.256,6.987,-5.064,1.195,9.536,9.287
238,1,6.889,-1.731,-1.559,-7.796,5.762,-7.392,1.015,7.109,3.876,-5.762
239,1,-0.954,5.812,2.264,-8.578,5.51,-5.179,1.516,7.94,8.682,8.99
240,1,-9.308,8.635,-0.92,-7.025,9.639,-8.822,-4.169,-1.972,-8.92,-8.421
241,1,-8.826,-8.236,4.89,7.703,-4.749,5.227,-0.254,-6.991,-4.082,-2.491
242,0,-0.852,3.754,2.862,-7.218,5.92,-3.782,0.99,2.203,-6.421,5.12
243,1,4.249,0.164,-5.961,3.539,1.532,-7.537,9.822,-8.218,-5.474,6.084
244,1,-3.038,5.183,-6.874,2.262,-5.178,3.246,6.21,2.461,-9.715,1.303
245,1,7.471,8.653,-9.048,9.98,4.813,-3.122,-8.473,-3.602,-3.91,-7.826
246,0,-3.111,-2.207,-0.328,-8.442,-8.381,-5.233,-2.242,-2.871,6.642,2.877
247,0,8.155,9.642,5.242,-9.707,-2.278,8.696,2.579,-8.037,1.545,-8.6
248,1,-8.54,0.176,8.646,9.54,0.657,-5.285,-5.078,6.316,-4.36,7.606
249,0,1.625,7.565,2.19,-8.524,3.46,-3.779,-0.655,-1.742,-2.445,-3.383
250,0,9.05,8.006,-5.144,-8.715,-1.955,2.924,1.524,-2.532,6.882,-2.103
251,1,7.403,-2.432,4.343,2.461,1.506,-0.868,-9.128,-8.166,-7.87,-0.131
252,1,7.594,4.468,9.722,-6.927,9.287,1.349,1.171,-8.031,3.457,-8.105
253,1,6.306,1.061,-9.604,-5.914,8.053,0.881,-4.265,-9.396,-6.479,6.352
254,1,5.473,1.985,-0.029,1.313,-3.106,-4.321,-3.85,6.458,-5.077,4.587
255,1,-5.93,-6.661,-8.543,8.433,4.938,-5.2,9.342,8.602,-8.425,3.646
256,1,8.423,-1.475,-4.818,2.982,-4.969,3.043,-0.139,9.028,-8.297,-2.599
257,1,3.58,-7.304,8.593,1.665,-3.903,2.458,-5.714,-4.286,3.698,-1.173
258,0,5.14,-0.143,-8.244,0.779,2.385,-0.96,-8.975,-4.339,-2.811,-7.815
259,1,9.296,-9.391,9.966,4.185,1.253,-8.222,3.045,-2.212,-8.086,5.908
260,1,3.019,-4.61,-5.577,-7.307,-8.95,9.326,2.991,-5.749,-5.815,3.584
261,0,2.542,-4.311,2.327,-4.153,5.965,3.958,-8.507,2.71,-1.989,8.779
262,1,-4.749,-9.003,-7.79,-8.948,0.447,-8.533,-0.441,5.054,9.888,-9.88
263,1,9.465,0.571,3.409,6.206,2.526,9.929,4.806,4.766,-6.915,8.574
264,0,-4.876,0.388,-3.783,0.634,-8.045,9.662,4.677,4.389,5.683,8.972
265,1,-5.683,7.1,5.296,1.588,-8.938,-0.178,1.627,5.005,8.533,-3.435
266,0,8.309,7.866,-7.855,-8.311,4.224,-8.712,1.372,-8.058,-5.946,-5.819
267,1,1.261,-2.099,8.795,-2.511,4.812,-1.394,6.06,-2.779,-2.795,-4.802
268,1,7.819,-2.295,8.79,7.583,-7.204,-1.718,-3.326,-7.235,-9.317,3.514
269,1,0.786,-6.053,3.511,-0.273,3.827,-6.6,7.69,-0.749,-0.946,5.156
270,1,6.259,2.055,-8.643,2.713,-4.765,7.069,-7.986,-7.024,-0.431,3
271,1,2.169,1.03,-7.685,-1.768,-4.488,8.633,2.092,7.817,-5.284,7.905
272,1,8.472,-8.965,4.115,-6.139,-4.794,-5.684,1.701,-6.689,-3.852,-3.652
273,0,-2.154,-6.491,3.523,5.902,7.528,7.263,2.534,9.45,-7.024,-6.555
274,1,-3.638,7.732,-4.411,-2.168,0.244,5.486,-5.281,0.674,-5.77,-1.068
275,0,5.825,-2.878,-3.035,-9.886,-6.229,-7.193,-6.648,4.085,-5.103,2.339
276,1,2.523,6.966,9.534,-7.73,-4.334,5.243,7.776,8.419,-7.649,-4.96
277,0,9.038,-7.59,0.098,8.49,-4.344,-9.813,-1.107,-1.6,4.808,-7.47
278,0,4.566,-1.717,5.509,-1.788,-3.285,-3.53,-2.864,0.104,4.064,9.303
279,1,-7.286,2.361,8.681,3.576,3.147,5.747,-5.244,-4.414,-4.861,-6.152
280,0,-5.93,-8.594,5.24,-6.544,-4.554,-1.974,1.496,0.312,-0.902,-6.642
281,0,8.917,6.913,9.645,6.342,-4.412,-2.166,3.679,-7.965,-5.643,-2.597
282,0,-1.496,8.894,-9.746,-3.937,7.766,-3.279,3.708,-3.735,1.236,-3.005
283,0,1.798,-4.768,7.796,2.855,-3.083,4.729,-7.763,-9.164,-7.131,6.975
284,0,7.523,2.188,4.233,4.668,-4.238,-1.375,-3.302,-0.865,7.999,0.61
